profile,channel,snr_3k_db,successes,trials,per,per_ci95_low,per_ci95_high,payload_bps_per_tx_airtime,decode_process_p50_seconds
fsk2,awgn,-6,0,40,1.0,0.9123783988027133,1,0.0,0.009304020499257604
fsk2,awgn,-3,0,40,1.0,0.9123783988027133,1,0.0,0.009312292000686284
fsk2,awgn,0,0,40,1.0,0.9123783988027133,1,0.0,0.009230583502358058
fsk2,awgn,3,0,40,1.0,0.9123783988027133,1,0.0,0.00916193700322765
fsk2,awgn,6,0,40,1.0,0.9123783988027133,1,0.0,0.009245000001101289
fsk2,awgn,9,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.009300333498686086
fsk2,awgn,12,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.009119041496887803
fsk2,awgn,18,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.008970624494395452
fsk2,voice,-6,0,40,1.0,0.9123783988027133,1,0.0,0.009406603996467311
fsk2,voice,-3,0,40,1.0,0.9123783988027133,1,0.0,0.009319291999418056
fsk2,voice,0,0,40,1.0,0.9123783988027133,1,0.0,0.009351874999993015
fsk2,voice,3,0,40,1.0,0.9123783988027133,1,0.0,0.00933162549699773
fsk2,voice,6,0,40,1.0,0.9123783988027133,1,0.0,0.009463500500714872
fsk2,voice,9,39,40,0.025000000000000022,0.0044268315026814165,0.12881368963474094,1039.9999999999993,0.009368186998472083
fsk2,voice,12,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.00919204149977304
fsk2,voice,18,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.009161104000668274
fsk4,awgn,-6,0,40,1.0,0.9123783988027133,1,0.0,0.009780125499673886
fsk4,awgn,-3,0,40,1.0,0.9123783988027133,1,0.0,0.009771041997737484
fsk4,awgn,0,0,40,1.0,0.9123783988027133,1,0.0,0.009695916502096225
fsk4,awgn,3,0,40,1.0,0.9123783988027133,1,0.0,0.009852229501120746
fsk4,awgn,6,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.009731458500027657
fsk4,awgn,9,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.010144229501747759
fsk4,awgn,12,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.009361729000374908
fsk4,awgn,18,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.009599583499948494
fsk4,voice,-6,0,40,1.0,0.9123783988027133,1,0.0,0.0096663959993748
fsk4,voice,-3,0,40,1.0,0.9123783988027133,1,0.0,0.00974856299944804
fsk4,voice,0,0,40,1.0,0.9123783988027133,1,0.0,0.009643521003454225
fsk4,voice,3,0,40,1.0,0.9123783988027133,1,0.0,0.009555645501677645
fsk4,voice,6,34,40,0.15000000000000002,0.07061187717320361,0.290723243664897,906.6666666666661,0.009419583504495677
fsk4,voice,9,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.009283687497372739
fsk4,voice,12,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.010071958000480663
fsk4,voice,18,40,40,0.0,0,0.08762160119728646,1066.6666666666658,0.00932783350435784
