profile,channel,snr_3k_db,successes,trials,per,per_ci95_low,per_ci95_high,payload_bps_per_tx_airtime,decode_process_p50_seconds
fsk2,clock+100,18.0,20,20,0.0,0,0.16112515805281935,1066.666666666666,0.010197437997703673
fsk2,clock-100,18.0,20,20,0.0,0,0.16112515805281935,1066.666666666666,0.01009712499944726
fsk2,clock+500,18.0,0,20,1.0,0.8388748419471806,1,0.0,0.009646687500207918
fsk2,clock-500,18.0,0,20,1.0,0.8388748419471806,1,0.0,0.00979752100101905
fsk2,clock+1000,18.0,0,20,1.0,0.8388748419471806,1,0.0,0.009556812499795342
fsk2,erase50,18.0,20,20,0.0,0,0.16112515805281935,1066.666666666666,0.009385062498040497
fsk2,erase150,18.0,0,20,1.0,0.8388748419471806,1,0.0,0.010287916000379482
fsk4,clock+100,18.0,20,20,0.0,0,0.16112515805281935,1066.666666666666,0.010598583001410589
fsk4,clock-100,18.0,20,20,0.0,0,0.16112515805281935,1066.666666666666,0.010330291996069718
fsk4,clock+500,18.0,20,20,0.0,0,0.16112515805281935,1066.666666666666,0.010186750499997288
fsk4,clock-500,18.0,20,20,0.0,0,0.16112515805281935,1066.666666666666,0.010176770498219412
fsk4,clock+1000,18.0,0,20,1.0,0.8388748419471806,1,0.0,0.010423125000670552
fsk4,erase50,18.0,20,20,0.0,0,0.16112515805281935,1066.666666666666,0.010013208499003667
fsk4,erase150,18.0,0,20,1.0,0.8388748419471806,1,0.0,0.010858208501304034
