suite,profile,receiver,payload_bytes,clock_ppm,channel,snr_3k_db,successes,trials,per,per_ci95_low,per_ci95_high
clock,fsk2,fixed,64,-2000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,64,-2000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,64,-1000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,stream,64,-1000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,64,-500,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,stream,64,-500,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,64,0,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,stream,64,0,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,64,500,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,stream,64,500,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,64,1000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,stream,64,1000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,64,2000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,64,2000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,256,-2000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,256,-2000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,256,-1000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,256,-1000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,256,-500,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,256,-500,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,256,0,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,stream,256,0,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,256,500,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,256,500,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,256,1000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,256,1000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,256,2000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,256,2000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,1024,-2000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,1024,-2000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,1024,-1000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,1024,-1000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,1024,-500,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,1024,-500,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,1024,0,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,stream,1024,0,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,1024,500,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,1024,500,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,1024,1000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,1024,1000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk2,fixed,1024,2000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk2,stream,1024,2000,awgn,18,20,20,0.0,0,0.16112515805281935
noise,fsk2,fixed,256,0,awgn,3,0,20,1.0,0.8388748419471806,1
noise,fsk2,stream,256,0,awgn,3,0,20,1.0,0.8388748419471806,1
